source_id,shop_name,manager_name,raw_latitude,raw_longitude,reason
40233,سوپر مارکت یاس7,رضا شهرکی,,,null
40234,آس مارکت1,رضا درزی,,,null
40235,سوپر دهکده2,مسلم فرهادی,,,null
40238,سوپر مارکت احمد1,احمدرضا امیاری,,,null
40240,سوپر مارکت زینال نژاد,امین زینال نژاد,,,null
40241,سوپر مارکت محله4,موسی فرخنده,,,null
40242,سوپر مارکت وصال,اسماعیل معلمی فر,,,null
40243,سوپر مارکت رحمتی,محید رحمتی,,,null
40245,سوپر مارکت هفت رنگ,محمدرضا کشاورز,,,null
40246,سوپر مارکت ستایش1,ابراهیم نجفی,,,null
40247,سوپر مارکت یاس8,سیدهاشم علوی نژاد,,,null
40248,سوپر مارکت قائم11,ابوالقاسم شمس آبادی,,,null
40249,کلبه دانش,علی اصغر برات پور,,,null
40250,سوپر مارکت قائم12,محمد حقیقی,,,null
40251,سوپر مارکت عطاران,حسن عطار حاجی سفید سنگ,,,null
40252,سوپر مارکت برادران,محسن روشندل,,,null
40253,سوپر مارکت علی8,علی کشاورز لاین,,,null
40255,سوپر مارکت حدیث,روزبه خدنگی ماهروی,,,null
40256,سوپر مارکت ونک3,احمد براتی گوارشک,,,null
40258,سوپر مارکت مرسی,محمد مفردیان,,,null
40259,سوپر مارکت دانیال,محمد شهنواز عشقی,,,null
40260,سوپر مارکت رضوی4,مریم میوه فروشان سفلائی,,,null
40261,سوپر مارکت یاس9,احسان حبیبی,,,null
40262,آبلیموزمزم,محسن حیدری نسب,,,null
40263,سوپر مارکت کورش,شهرام ریاحی,,,null
40266,سوپر مارکت دریا,حمیدرضا جلیلیان صنعتی,,,null
40268,سوپر مارکت شیرزاده,مهدی شیرزاده,,,null
40272,سوپر مارکت پائیز84,بی بی فاطمه اصغری,,,null
40273,سوپر مارکت ثامن8,ناصر کرمی,,,null
40275,سوپر مارکت آرش,رضا پویان منش,,,null
40276,سوپر زمانی,سیدمحمد حیدری,,,null
40279,سوپر مارکت نازنین,مصطفی بی غم تفتی,,,null
40280,سوپر مارکت شقایق3,فرزانه فغانی چاپشلو,,,null
40281,سوپر گیلاس,سروش قالیچی,,,null
40282,سوپر مارکت قائم13,محسن نیازیان,,,null
40286,سوپر مارکت نیم نگاه,رستم ملکی,,,null
40287,سوپر مارکت سعید7,سعید علیزاده,,,null
40288,سوپر مارکت ثامن9,محمد زارعی باغ یعقوب,,,null
40290,زعفران چای و قهوه خداخواه,رضا خداخواه دربان,,,null
40291,سوپر مارکت سپهر,جواد افشار اقطاء,,,null
40293,سوپر مارکت پارس1,جواد کلاهان,,,null
40294,سوپر مارکت پدرام,حمید رضا آرایش,,,null
40295,مواد غذایی فوته بافان,مصطفی فوطه بافان,,,null
